2023-10-18 00:55:52 ('127.0.0.1', 1002) >>> 发送: b'\x12'
2023-10-18 00:56:53 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:53 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
2023-10-18 00:56:54 ('127.0.0.1', 1002) <<< 接收: 68 74 74 70 3A 2F 2F 77 77 77 2E 63 6D 73 6F 66 74 2E 63 6E
